NAME,the_geom,LINE
W 4th St - Washington Sq (Lower),POINT (-74.00030814706824 40.73225482650675),B-D-F-M
Buhre Ave,POINT (-73.83256899924748 40.846810332614844),6-6 Express
51st St,POINT (-73.97192000013308 40.757107333148234),4-6-6 Express
86th St,POINT (-73.97621799811347 40.78864433404891),2-Jan
Brooklyn Bridge - City Hall,POINT (-74.00413100111697 40.713065332984044),4-5-6-6 Express
33rd St,POINT (-73.98207600124924 40.7460813321576),4-6-6 Express
Lexington Ave - 59th St,POINT (-73.96796700066442 40.76252633389173),4-5-6-6 Express
233rd St,POINT (-73.85736239433544 40.89314357506239),5-Feb
66th St - Lincoln Ctr,POINT (-73.98220900041213 40.773440334231445),2-Jan
Hunts Point Ave,POINT (-73.89054899975386 40.82094833186627),6-6 Express
Canal St,POINT (-74.00627700023756 40.722854331339036),2-Jan
Middletown Rd,POINT (-73.83632199732654 40.843863334673635),6-6 Express
23rd St,POINT (-73.98659900183978 40.7398643335507),4-6-6 Express
45th Rd - Court House Sq,POINT (-73.94526400065335 40.747023331863446),7-7 Express
Astor Pl,POINT (-73.99106999895504 40.73005433376933),4-6-6 Express
59th St - Columbus Circle,POINT (-73.98192900168259 40.76824733393756),2-Jan
Hunters Point Ave,POINT (-73.9489160011607 40.74221633326165),7-7 Express
96th St,POINT (-73.95107000070685 40.785672333485294),4-6-6 Express
Mets - Willets Point,POINT (-73.84562499786716 40.75462233245772),7-7 Express
23rd St,POINT (-73.99565700196479 40.74408133288406),2-Jan
Houston St,POINT (-74.00536700184291 40.72825133360782),2-Jan
3rd Ave - 138th St,POINT (-73.92613800022275 40.81047633454132),6-6 Express
Zerega Ave,POINT (-73.84703599804547 40.83648833366287),6-6 Express
104th St,POINT (-73.8376829999374 40.681711334202696),A-S
Bleecker St (Downtown),POINT (-73.99467467829572 40.72593123822929),4-6-6 Express
Castle Hill Ave,POINT (-73.85122199920897 40.83425533183211),6-6 Express
Broad Channel,POINT (-73.81583268677743 40.608402513981986),A-S
Ocean Pkwy,POINT (-73.9685010000048 40.5763120005781),Q
50th St,POINT (-73.98384899991842 40.76172833308103),2-Jan
Vernon Blvd - Jackson Ave,POINT (-73.95358099882006 40.74262633257131),7-7 Express
68th St - Hunter College,POINT (-73.96387000148661 40.768141333903976),4-6-6 Express
Queensboro Plz,POINT (-73.94016353439743 40.75063598438094),7-7 Express-N-W
Rockaway Blvd,POINT (-73.8438529971175 40.68042933335036),A-S
Union Sq - 14th St,POINT (-73.98995099886989 40.734673334561),4-5-6-6 Express
Junction Blvd,POINT (-73.8695269997965 40.74914533273112),7-7 Express
Classon Ave,POINT (-73.95999000126959 40.68888933367643),G
Bedford - Nostrand Aves,POINT (-73.95352199987617 40.68962733491343),G
15th St - Prospect Park,POINT (-73.979735806077 40.660036021685464),F-G
7th Ave,POINT (-73.9802511788693 40.666245023690635),F-G
